"transition","covariate","beta_full","HR_full","HR_lower_full","HR_upper_full","significant_full","fixed_full","beta_Slb","HR_Slb","HR_lower_Slb","HR_upper_Slb","significant_Slb","fixed_Slb","delta_beta","pct_change","sig_changed"
"1->2","htn_baseline",-0.419971861107597,0.657065308644949,0.611645588307158,0.705857817138171,TRUE,FALSE,-0.419123295461685,0.657623108324338,0.61213920503822,0.706486611285029,TRUE,FALSE,8e-04,0.19,FALSE
"1->2","sex",0.0113369976852227,1.01140150498604,0.961659302207788,1.06371664261924,FALSE,FALSE,0.0113436763001059,1.01140825976974,0.961765156415878,1.06361377422174,FALSE,FALSE,0,0,FALSE
"1->6","htn_baseline",2.02434874805247,7.5711785939053,2.00275767049747,28.6219077551062,TRUE,FALSE,0.6945,2.0027074698261,2.0027074698261,2.0027074698261,TRUE,FALSE,-1.3298,-65.69,FALSE
"1->6","sex",0.312685081431184,1.3670909409082,1.0171529106465,1.837420530533,TRUE,FALSE,0.307426887163634,1.35992137715803,1.01121404728519,1.82887703846327,TRUE,FALSE,-0.0053,-1.69,FALSE
"2->3","htn_baseline",-0.0336161754152023,0.966942569751353,0.910186523830981,1.02723772404586,FALSE,FALSE,-0.0337511384914957,0.966812077013589,0.910084921653235,1.02707513334177,FALSE,FALSE,-1e-04,-0.3,FALSE
"2->3","sex",0.114161344169621,1.12093296629355,1.07329080379764,1.17068991039317,TRUE,FALSE,0.114179889692487,1.12095375477428,1.07325303664268,1.17077453074181,TRUE,FALSE,0,0,FALSE
"2->6","htn_baseline",-0.192414509777487,0.824964841616904,0.673937124950558,1.00983751259278,FALSE,FALSE,-0.187206706541323,0.82927230265828,0.677521542650867,1.01501208251697,FALSE,FALSE,0.0052,2.7,FALSE
"2->6","sex",0.204299147177179,1.22666505196279,1.05045210945627,1.43243764866703,TRUE,FALSE,0.206305652063145,1.22912883235008,1.0528098163565,1.43497682396484,TRUE,FALSE,0.002,0.98,FALSE
"3->4","htn_baseline",0.0882355238381186,1.09224534155135,1.02576611887695,1.16303303860999,TRUE,FALSE,0.0884484737167954,1.09247795983146,1.02597945948819,1.16328653724987,TRUE,FALSE,2e-04,0.23,FALSE
"3->4","sex",0.226749397070691,1.2545154432991,1.20231102591448,1.30898657964057,TRUE,FALSE,0.226700918655622,1.25445462785286,1.20225845470938,1.30891690316444,TRUE,FALSE,0,0,FALSE
"3->6","htn_baseline",-0.285775810925906,0.751431059698075,0.619105232301524,0.912039840755167,TRUE,FALSE,-0.286945368900383,0.750552731238083,0.618438185065912,0.910890394500636,TRUE,FALSE,-0.0012,-0.42,FALSE
"3->6","sex",0.354794539407514,1.42588766045963,1.22508249196483,1.65960711510145,TRUE,FALSE,0.354302384888338,1.42518607606183,1.22461538588689,1.65860675507479,TRUE,FALSE,-5e-04,-0.14,FALSE
"4->5","htn_baseline",1.32584564989391,3.76536819223954,3.53555098742253,4.01012393077244,TRUE,FALSE,1.32598140118099,3.76587938051441,3.53600588221552,4.01069680904994,TRUE,FALSE,1e-04,0.01,FALSE
"4->5","sex",0.133201830805235,1.14248056283456,1.09599543311382,1.19093729500899,TRUE,FALSE,0.133216930978581,1.14249781461936,1.0960115215047,1.19095577993376,TRUE,FALSE,0,0,FALSE
"4->6","htn_baseline",0.49307632201001,1.63734548211876,1.27169245938607,2.10813566442703,TRUE,FALSE,0.498609818751098,1.64643084172951,1.27832487408513,2.12053647046348,TRUE,FALSE,0.0055,1.12,FALSE
"4->6","sex",0.605842844279215,1.83279631996502,1.43810355999777,2.3358139454731,TRUE,FALSE,0.600972060231245,1.823890870753,1.4315541101922,2.32375282550061,TRUE,FALSE,-0.0049,-0.81,FALSE
"5->6","htn_baseline",0.123526986304433,1.13148053860835,1.03504200805722,1.23690458868668,TRUE,FALSE,0.124122359514142,1.13215439238568,1.03564341847747,1.23765916465976,TRUE,FALSE,6e-04,0.49,FALSE
"5->6","sex",0.209186831580471,1.2326752796884,1.16123703334655,1.30850834198414,TRUE,FALSE,0.209380268861453,1.23291374810643,1.16145926601734,1.30876420271046,TRUE,FALSE,2e-04,0.1,FALSE
