"block","transition","covariate","a_ij","a_lower","a_upper","beta","beta_lower","beta_upper","HR","HR_lower","HR_upper","significant","fixed"
"baseline_rate","1->2",NA,0.542921038775524,0.504198082189519,0.584617960197433,NA,NA,NA,NA,NA,NA,NA,FALSE
"baseline_rate","1->6",NA,0.00037724426518464,0.000296352692442227,0.000480215767374687,NA,NA,NA,NA,NA,NA,NA,FALSE
"baseline_rate","2->3",NA,0.166559057843191,0.156692565554367,0.177046815536286,NA,NA,NA,NA,NA,NA,NA,FALSE
"baseline_rate","2->6",NA,0.0151179079179182,0.0123263636649331,0.018541651538714,NA,NA,NA,NA,NA,NA,NA,FALSE
"baseline_rate","3->4",NA,0.192641855781941,0.180921774819293,0.20512116154165,NA,NA,NA,NA,NA,NA,NA,FALSE
"baseline_rate","3->6",NA,0.0207153709107609,0.0170460339932107,0.0251745709378096,NA,NA,NA,NA,NA,NA,NA,FALSE
"baseline_rate","4->5",NA,0.288388596194327,0.270538695070165,0.307416217829264,NA,NA,NA,NA,NA,NA,NA,FALSE
"baseline_rate","4->6",NA,0.0165742294834712,0.0125709091637055,0.0218524435578527,NA,NA,NA,NA,NA,NA,NA,FALSE
"baseline_rate","5->6",NA,0.0746053202979702,0.0680082867033987,0.0818422884410727,NA,NA,NA,NA,NA,NA,NA,FALSE
"covariate","1->2","sex",NA,NA,NA,0.0113353656599628,-0.0391789465549307,0.0618496778748564,1.01139985435458,0.961578622567872,1.06380241966774,FALSE,FALSE
"covariate","1->6","sex",NA,NA,NA,0.324326468717932,0.0275456400021408,0.621107297433724,1.38309877190374,1.02792852869693,1.86098756814021,TRUE,FALSE
"covariate","2->3","sex",NA,NA,NA,0.114167496610635,0.0706354686397569,0.157699524581514,1.12093986278873,1.0731899431655,1.17081434091955,TRUE,FALSE
"covariate","2->6","sex",NA,NA,NA,0.203311312809531,0.048516000324061,0.358106625295001,1.22545390836999,1.04971216742081,1.43061815243041,TRUE,FALSE
"covariate","3->4","sex",NA,NA,NA,0.226714891925588,0.184222130409834,0.269207653441342,1.25447215680851,1.20228285702079,1.30892691600656,TRUE,FALSE
"covariate","3->6","sex",NA,NA,NA,0.355425127598901,0.203559351228988,0.507290903968815,1.42678709193619,1.22575790572049,1.6607858666179,TRUE,FALSE
"covariate","4->5","sex",NA,NA,NA,0.133198821185214,0.0916597689263848,0.174737873444044,1.14247712440736,1.09599186814918,1.19093400026619,TRUE,FALSE
"covariate","4->6","sex",NA,NA,NA,0.600527424071221,0.358414884370502,0.842639963771939,1.82308008318602,1.43105922143774,2.32249018064423,TRUE,FALSE
"covariate","5->6","sex",NA,NA,NA,0.209320912162659,0.149581678727048,0.269060145598271,1.23284056858832,1.16134832439098,1.30873385325993,TRUE,FALSE
"covariate","1->2","htn_baseline",NA,NA,NA,-0.42115557479649,-0.492819240976658,-0.349491908616323,0.656287991595789,0.610901685078191,0.705046226640717,TRUE,FALSE
"covariate","1->6","htn_baseline",NA,NA,NA,3.3542,3.3542,3.3542,28.6226968715035,28.6226968715035,28.6226968715035,TRUE,FALSE
"covariate","2->3","htn_baseline",NA,NA,NA,-0.0337898678079631,-0.0943703717804758,0.0267906361645498,0.966774633767774,0.909945681619807,1.02715273161473,FALSE,FALSE
"covariate","2->6","htn_baseline",NA,NA,NA,-0.206100179414988,-0.407113552003482,-0.00508680682649523,0.813751551045084,0.665568609361371,0.994926109065853,TRUE,FALSE
"covariate","3->4","htn_baseline",NA,NA,NA,0.0884744681544884,0.025674739584662,0.151274196724315,1.09250635855082,1.02600717467491,1.16331559167913,TRUE,FALSE
"covariate","3->6","htn_baseline",NA,NA,NA,-0.287138549626698,-0.480760022052573,-0.093517077200824,0.750407752920283,0.61831328145235,0.910722464702976,TRUE,FALSE
"covariate","4->5","htn_baseline",NA,NA,NA,1.32634687341355,1.26335723395164,1.38933651287546,3.76725595639396,3.5372770418763,4.01218713518059,TRUE,FALSE
"covariate","4->6","htn_baseline",NA,NA,NA,0.497591233842114,0.244639814450563,0.750542653233665,1.64475466592905,1.27716121533549,2.11814912527293,TRUE,FALSE
"covariate","5->6","htn_baseline",NA,NA,NA,0.123543318371359,0.0344235136774928,0.212663123065226,1.13149901817514,1.03502286025622,1.23696787510023,TRUE,FALSE
