"transition","covariate","beta_full","HR_full","HR_lower_full","HR_upper_full","significant_full","fixed_full","beta_Sub","HR_Sub","HR_lower_Sub","HR_upper_Sub","significant_Sub","fixed_Sub","delta_beta","pct_change","sig_changed"
"1->2","htn_baseline",-0.419971861107597,0.657065308644949,0.611645588307158,0.705857817138171,TRUE,FALSE,-0.42115557479649,0.656287991595789,0.610901685078191,0.705046226640717,TRUE,FALSE,-0.0012,-0.29,FALSE
"1->2","sex",0.0113369976852227,1.01140150498604,0.961659302207788,1.06371664261924,FALSE,FALSE,0.0113353656599628,1.01139985435458,0.961578622567872,1.06380241966774,FALSE,FALSE,0,0,FALSE
"1->6","htn_baseline",2.02434874805247,7.5711785939053,2.00275767049747,28.6219077551062,TRUE,FALSE,3.3542,28.6226968715035,28.6226968715035,28.6226968715035,TRUE,FALSE,1.3299,65.7,FALSE
"1->6","sex",0.312685081431184,1.3670909409082,1.0171529106465,1.837420530533,TRUE,FALSE,0.324326468717932,1.38309877190374,1.02792852869693,1.86098756814021,TRUE,FALSE,0.0116,3.71,FALSE
"2->3","htn_baseline",-0.0336161754152023,0.966942569751353,0.910186523830981,1.02723772404586,FALSE,FALSE,-0.0337898678079631,0.966774633767774,0.909945681619807,1.02715273161473,FALSE,FALSE,-2e-04,-0.59,FALSE
"2->3","sex",0.114161344169621,1.12093296629355,1.07329080379764,1.17068991039317,TRUE,FALSE,0.114167496610635,1.12093986278873,1.0731899431655,1.17081434091955,TRUE,FALSE,0,0,FALSE
"2->6","htn_baseline",-0.192414509777487,0.824964841616904,0.673937124950558,1.00983751259278,FALSE,FALSE,-0.206100179414988,0.813751551045084,0.665568609361371,0.994926109065853,TRUE,FALSE,-0.0137,-7.12,TRUE
"2->6","sex",0.204299147177179,1.22666505196279,1.05045210945627,1.43243764866703,TRUE,FALSE,0.203311312809531,1.22545390836999,1.04971216742081,1.43061815243041,TRUE,FALSE,-0.001,-0.49,FALSE
"3->4","htn_baseline",0.0882355238381186,1.09224534155135,1.02576611887695,1.16303303860999,TRUE,FALSE,0.0884744681544884,1.09250635855082,1.02600717467491,1.16331559167913,TRUE,FALSE,2e-04,0.23,FALSE
"3->4","sex",0.226749397070691,1.2545154432991,1.20231102591448,1.30898657964057,TRUE,FALSE,0.226714891925588,1.25447215680851,1.20228285702079,1.30892691600656,TRUE,FALSE,0,0,FALSE
"3->6","htn_baseline",-0.285775810925906,0.751431059698075,0.619105232301524,0.912039840755167,TRUE,FALSE,-0.287138549626698,0.750407752920283,0.61831328145235,0.910722464702976,TRUE,FALSE,-0.0014,-0.49,FALSE
"3->6","sex",0.354794539407514,1.42588766045963,1.22508249196483,1.65960711510145,TRUE,FALSE,0.355425127598901,1.42678709193619,1.22575790572049,1.6607858666179,TRUE,FALSE,6e-04,0.17,FALSE
"4->5","htn_baseline",1.32584564989391,3.76536819223954,3.53555098742253,4.01012393077244,TRUE,FALSE,1.32634687341355,3.76725595639396,3.5372770418763,4.01218713518059,TRUE,FALSE,5e-04,0.04,FALSE
"4->5","sex",0.133201830805235,1.14248056283456,1.09599543311382,1.19093729500899,TRUE,FALSE,0.133198821185214,1.14247712440736,1.09599186814918,1.19093400026619,TRUE,FALSE,0,0,FALSE
"4->6","htn_baseline",0.49307632201001,1.63734548211876,1.27169245938607,2.10813566442703,TRUE,FALSE,0.497591233842114,1.64475466592905,1.27716121533549,2.11814912527293,TRUE,FALSE,0.0045,0.91,FALSE
"4->6","sex",0.605842844279215,1.83279631996502,1.43810355999777,2.3358139454731,TRUE,FALSE,0.600527424071221,1.82308008318602,1.43105922143774,2.32249018064423,TRUE,FALSE,-0.0053,-0.87,FALSE
"5->6","htn_baseline",0.123526986304433,1.13148053860835,1.03504200805722,1.23690458868668,TRUE,FALSE,0.123543318371359,1.13149901817514,1.03502286025622,1.23696787510023,TRUE,FALSE,0,0,FALSE
"5->6","sex",0.209186831580471,1.2326752796884,1.16123703334655,1.30850834198414,TRUE,FALSE,0.209320912162659,1.23284056858832,1.16134832439098,1.30873385325993,TRUE,FALSE,1e-04,0.05,FALSE
