"repeat_idx","fold","llpern_m1_train","llpern_m1","llpern_m0"
"1","1",-0.564599567433374,-0.561555706143008,-0.566343982286761
"1","2",-0.564817636140312,-0.560727839248475,-0.565646556506297
"1","3",-0.563813909136779,-0.564783194299588,-0.567678656552713
"1","4",-0.56382154933422,-0.564665636554499,-0.569736959905328
"1","5",-0.56269433100415,-0.569163992119165,-0.573711104270091
"2","1",-0.56624854937399,-0.555032210729209,-0.559303558381705
"2","2",-0.561166341809628,-0.575268042318423,-0.579801779501108
"2","3",-0.564442076886286,-0.56213765656913,-0.566444376667801
"2","4",-0.564651422623284,-0.561318718310524,-0.565762793920615
"2","5",-0.563294724486402,-0.566760932289957,-0.571821005842625
"3","1",-0.565924388856435,-0.55622933090716,-0.561202113765414
"3","2",-0.564316356674636,-0.562687742833461,-0.567047162129267
"3","3",-0.564772542066944,-0.560762815528239,-0.565576520008769
"3","4",-0.561986491008207,-0.572034456831748,-0.576176184754808
"3","5",-0.562779102375985,-0.56879051511381,-0.573084211794718
"4","1",-0.564799876061642,-0.560778663700675,-0.564221055630209
"4","2",-0.563114335917263,-0.567519242649729,-0.572765822878305
"4","3",-0.564043305300432,-0.563786069148484,-0.567543844293793
"4","4",-0.564127173426019,-0.563380419832724,-0.567818761016862
"4","5",-0.563675161671564,-0.565241834483555,-0.570694022427077
"5","1",-0.562318889757061,-0.570650973351323,-0.575420628888664
"5","2",-0.565459056480122,-0.558090954432184,-0.562220843500442
"5","3",-0.563676781431121,-0.565240414034748,-0.570195084631701
"5","4",-0.564415424603729,-0.562271887135096,-0.566413546761009
"5","5",-0.563912232191676,-0.564241106797922,-0.568907872510932
"6","1",-0.563877470715309,-0.564384184934038,-0.569073479837119
"6","2",-0.564227785793948,-0.562975292595073,-0.56823813376053
"6","3",-0.563772120613953,-0.564856596808019,-0.569413758396616
"6","4",-0.5627663918381,-0.568864163183113,-0.572136620247354
"6","5",-0.565147476948412,-0.559294156369068,-0.564071843706639
"7","1",-0.562642412132286,-0.56939320727375,-0.573146809065108
"7","2",-0.563519032101463,-0.565873917153068,-0.569166985272074
"7","3",-0.564197429670802,-0.563149383221206,-0.567956801078078
"7","4",-0.563535181886441,-0.565782823848379,-0.570931546609832
"7","5",-0.565885306001734,-0.556405888354685,-0.561821793331445
"8","1",-0.563686354022464,-0.565221181127996,-0.569487638841947
"8","2",-0.564256802429106,-0.562860282370673,-0.566840464614971
"8","3",-0.564591275376125,-0.561568413004243,-0.566144368866799
"8","4",-0.564753030155181,-0.560895381062169,-0.565428902984356
"8","5",-0.562510353998028,-0.5699331995194,-0.575177040080616
"9","1",-0.562709689262442,-0.569122563336157,-0.574883108169783
"9","2",-0.564847378032234,-0.560565706631949,-0.565770670001827
"9","3",-0.564899025111019,-0.560330805555851,-0.564712629104538
"9","4",-0.5617080123806,-0.573170547841606,-0.57688836076937
"9","5",-0.565605601029348,-0.557536336483335,-0.56085949754212
"10","1",-0.564621201558356,-0.561437812310903,-0.567007616104929
"10","2",-0.562827905406402,-0.568575041299287,-0.57331776429884
"10","3",-0.561159917015275,-0.575419414499568,-0.578356216723031
"10","4",-0.565654474608939,-0.557302236421865,-0.562121496253896
"10","5",-0.565542296277156,-0.557787725920223,-0.562305278560928
"mean","",-0.563956,-0.564117,-0.568616
"sd","",0.00121,0.004849,0.004783
