"transition","covariate","beta","beta_lower","beta_upper","HR","HR_lower","HR_upper"
"State 1 - State 2","sex",0.0113,-0.0391,0.0618,1.0114,0.9617,1.0637
"State 1 - State 6","sex",0.3127,0.017,0.6084,1.3671,1.0172,1.8374
"State 2 - State 3","sex",0.1142,0.0707,0.1576,1.1209,1.0733,1.1707
"State 2 - State 6","sex",0.2043,0.0492,0.3594,1.2267,1.0505,1.4324
"State 3 - State 4","sex",0.2267,0.1842,0.2693,1.2545,1.2023,1.309
"State 3 - State 6","sex",0.3548,0.203,0.5066,1.4259,1.2251,1.6596
"State 4 - State 5","sex",0.1332,0.0917,0.1747,1.1425,1.096,1.1909
"State 4 - State 6","sex",0.6058,0.3633,0.8484,1.8328,1.4381,2.3358
"State 5 - State 6","sex",0.2092,0.1495,0.2689,1.2327,1.1612,1.3085
"State 1 - State 2","htn_baseline",-0.42,-0.4916,-0.3483,0.6571,0.6116,0.7059
"State 1 - State 6","htn_baseline",2.0243,0.6945,3.3542,7.5712,2.0028,28.6219
"State 2 - State 3","htn_baseline",-0.0336,-0.0941,0.0269,0.9669,0.9102,1.0272
"State 2 - State 6","htn_baseline",-0.1924,-0.3946,0.0098,0.825,0.6739,1.0098
"State 3 - State 4","htn_baseline",0.0882,0.0254,0.151,1.0922,1.0258,1.163
"State 3 - State 6","htn_baseline",-0.2858,-0.4795,-0.0921,0.7514,0.6191,0.912
"State 4 - State 5","htn_baseline",1.3258,1.2629,1.3888,3.7654,3.5356,4.0101
"State 4 - State 6","htn_baseline",0.4931,0.2403,0.7458,1.6373,1.2717,2.1081
"State 5 - State 6","htn_baseline",0.1235,0.0344,0.2126,1.1315,1.035,1.2369
