"transition","covariate","beta_full","sig_full","fixed_full","beta_Slb","sig_Slb","fixed_Slb","beta_Sub","sig_Sub","fixed_Sub"
"1->2","sex",0.0113,FALSE,FALSE,0.0113,FALSE,FALSE,0.0113,FALSE,FALSE
"1->6","sex",0.3127,TRUE,FALSE,0.3074,TRUE,FALSE,0.3243,TRUE,FALSE
"2->3","sex",0.1142,TRUE,FALSE,0.1142,TRUE,FALSE,0.1142,TRUE,FALSE
"2->6","sex",0.2043,TRUE,FALSE,0.2063,TRUE,FALSE,0.2033,TRUE,FALSE
"3->4","sex",0.2267,TRUE,FALSE,0.2267,TRUE,FALSE,0.2267,TRUE,FALSE
"3->6","sex",0.3548,TRUE,FALSE,0.3543,TRUE,FALSE,0.3554,TRUE,FALSE
"4->5","sex",0.1332,TRUE,FALSE,0.1332,TRUE,FALSE,0.1332,TRUE,FALSE
"4->6","sex",0.6058,TRUE,FALSE,0.601,TRUE,FALSE,0.6005,TRUE,FALSE
"5->6","sex",0.2092,TRUE,FALSE,0.2094,TRUE,FALSE,0.2093,TRUE,FALSE
"1->2","htn_baseline",-0.42,TRUE,FALSE,-0.4191,TRUE,FALSE,-0.4212,TRUE,FALSE
"1->6","htn_baseline",2.0243,TRUE,FALSE,0.6945,TRUE,FALSE,3.3542,TRUE,FALSE
"2->3","htn_baseline",-0.0336,FALSE,FALSE,-0.0338,FALSE,FALSE,-0.0338,FALSE,FALSE
"2->6","htn_baseline",-0.1924,FALSE,FALSE,-0.1872,FALSE,FALSE,-0.2061,TRUE,FALSE
"3->4","htn_baseline",0.0882,TRUE,FALSE,0.0884,TRUE,FALSE,0.0885,TRUE,FALSE
"3->6","htn_baseline",-0.2858,TRUE,FALSE,-0.2869,TRUE,FALSE,-0.2871,TRUE,FALSE
"4->5","htn_baseline",1.3258,TRUE,FALSE,1.326,TRUE,FALSE,1.3263,TRUE,FALSE
"4->6","htn_baseline",0.4931,TRUE,FALSE,0.4986,TRUE,FALSE,0.4976,TRUE,FALSE
"5->6","htn_baseline",0.1235,TRUE,FALSE,0.1241,TRUE,FALSE,0.1235,TRUE,FALSE
